"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","year"
"11313",671337.538161434,7255259.32050278,2010-06-07 07:16:00,-19.7073191622039,-18.8376738643274,27.2623620616361,7200,618867908.026366,-2.37875248578261,0.0839519252471006,"r_RG_10_061","r_RG_10_061.1","2010"
"11314",671317.830842271,7255240.48282892,2010-06-07 09:16:00,-387.250282395747,-426.576930555515,576.134236873448,7200,617540784.799458,-2.30790895793264,0.0708435278499708,"r_RG_10_061","r_RG_10_061.1","2010"
"11315",670930.580559876,7254813.90589836,2010-06-07 11:16:00,-268.326579643879,-1254.59729163069,1282.97058325998,7200,590326793.411699,-1.78149662690976,0.52641233102288,"r_RG_10_061","r_RG_10_061.1","2010"
"11316",670662.253980232,7253559.30860673,2010-06-07 13:16:00,489.801532597863,500.648397156969,700.395858719237,7200,548963589.430529,0.796349177302793,2.57784580421255,"r_RG_10_061","r_RG_10_061.1","2010"
"11317",671152.05551283,7254059.95700389,2010-06-07 15:16:00,42.2560720925685,-10.5578708723187,43.555071645549,7200,580947144.354401,-0.244841741935786,-1.04119091923858,"r_RG_10_061","r_RG_10_061.1","2010"
"11318",671194.311584922,7254049.39913302,2010-06-07 17:16:00,64.2410629203077,-171.213526282459,182.86876646165,7200,582465134.509647,-1.21184137674602,-0.966999634810236,"r_RG_10_061","r_RG_10_061.1","2010"
"11319",671258.552647843,7253878.18560674,2010-06-07 19:16:00,-7.39209536637645,-14.3925746008754,16.1799035085926,7200,581101552.817584,-2.0452684427812,-0.833427066035176,"r_RG_10_061","r_RG_10_061.1","2010"
"11320",671251.160552476,7253863.79303213,2010-06-07 21:16:00,99.557830815902,-692.199910419062,699.322870826434,7200,580451860.38559,-1.42794781726834,0.617320625512856,"r_RG_10_061","r_RG_10_061.1","2010"
"11321",671350.718383292,7253171.59312172,2010-06-07 23:16:00,69.5729622076033,186.676799342036,199.220040364737,7200,568844115.671501,1.21405058353337,2.64199840080171,"r_RG_10_061","r_RG_10_061.1","2010"
"11322",671420.2913455,7253358.26992106,2010-06-08 01:16:00,-367.109053606051,-15.1451765913516,367.421329829276,7200,575956369.238788,-3.1003607829399,1.96877394070632,"r_RG_10_061","r_RG_10_061.1","2010"
"11323",671053.182291894,7253343.12474447,2010-06-08 03:16:00,139.956955905887,62.1617747843266,153.140575128801,7200,560188343.340204,0.417977786787884,-2.7648467374518,"r_RG_10_061","r_RG_10_061.1","2010"
"11324",671193.1392478,7253405.28651925,2010-06-08 05:16:00,-166.316981666139,-153.607209734619,226.399013409931,7200,567439503.984539,-2.39590105853877,-2.81387884532665,"r_RG_10_061","r_RG_10_061.1","2010"
"11325",671026.822266133,7253251.67930952,2010-06-08 07:16:00,180.216238717898,-14.9668732117862,180.836666612067,7200,557043374.37815,-0.0828593752827022,2.31304168325607,"r_RG_10_061","r_RG_10_061.1","2010"
"11326",671207.038504851,7253236.7124363,2010-06-08 09:16:00,300.690446978551,-157.372248511761,339.382924593752,7200,564240012.539711,-0.482168050424599,-0.399308675141896,"r_RG_10_061","r_RG_10_061.1","2010"
"11327",671507.72895183,7253079.34018779,2010-06-08 11:16:00,47.0710424571298,-22.1850742511451,52.0371075054114,7200,573468776.964765,-0.440433694048007,0.0417343563765918,"r_RG_10_061","r_RG_10_061.1","2010"
"11328",671554.799994287,7253057.15511354,2010-06-08 13:16:00,216.455380266416,-34.9608317911625,219.260555973501,7200,574988016.880329,-0.160132280964296,0.280301413083711,"r_RG_10_061","r_RG_10_061.1","2010"
"11329",671771.255374553,7253022.19428175,2010-06-08 15:16:00,-324.386718059424,996.571240183897,1048.03672627205,7200,583504021.405528,1.88548291404979,2.04561519501409,"r_RG_10_061","r_RG_10_061.1","2010"
"11330",671446.868656494,7254018.76552193,2010-06-08 17:16:00,-867.496594803408,-33.1943206004798,868.131444491924,7200,592389813.708522,-3.10334681575207,1.29435557737773,"r_RG_10_061","r_RG_10_061.1","2010"
"11331",670579.372061691,7253985.57120133,2010-06-08 19:16:00,279.576124095707,-43.8139824960381,282.988470130041,7200,555532292.834272,-0.155451361577298,2.94789545417477,"r_RG_10_061","r_RG_10_061.1","2010"
"11332",670858.948185786,7253941.75721884,2010-06-08 21:16:00,595.123969253153,459.205983856693,751.693204964246,7200,565952277.308389,0.657191171317124,0.812642532894422,"r_RG_10_061","r_RG_10_061.1","2010"
"11333",671454.072155039,7254400.96320269,2010-06-08 23:16:00,16.0337737827795,21.9734836276621,27.2013948990209,7200,601951046.763579,0.940422537662129,0.283231366345005,"r_RG_10_061","r_RG_10_061.1","2010"
"11334",671470.105928822,7254422.93668632,2010-06-09 01:16:00,-209.868011753191,-177.955683088861,275.159603686408,7200,603173070.932517,-2.43829518416223,2.90446758535522,"r_RG_10_061","r_RG_10_061.1","2010"
"11335",671260.237917069,7254244.98100323,2010-06-09 03:16:00,-39.459361096262,-53.1254314929247,66.1766775339668,7200,589946121.589571,-2.20964668641641,0.228648497745823,"r_RG_10_061","r_RG_10_061.1","2010"
"11336",671220.778555973,7254191.85557174,2010-06-09 05:16:00,-180.422502166824,-60.2499013002962,190.216534230947,7200,587000181.331501,-2.81929813870664,-0.60965145229023,"r_RG_10_061","r_RG_10_061.1","2010"
"11337",671040.356053806,7254131.60567044,2010-06-09 07:16:00,-188.61942199897,-74.30520070903,202.72777118006,7200,578003233.64388,-2.7663191692145,0.0529789694921443,"r_RG_10_061","r_RG_10_061.1","2010"
"11338",670851.736631807,7254057.30046973,2010-06-09 09:16:00,-194.75085562747,-11.9212802974507,195.115383021334,7200,568404152.910567,-3.08045595741936,-0.314136788204868,"r_RG_10_061","r_RG_10_061.1","2010"
"11339",670656.985776179,7254045.37918943,2010-06-09 11:16:00,-207.679463054636,12.6528502469882,208.06454285638,7200,560122972.573262,3.08074296868504,-0.121986381075184,"r_RG_10_061","r_RG_10_061.1","2010"
"11340",670449.306313125,7254058.03203968,2010-06-09 13:16:00,-138.43222520093,141.594205092639,198.021210707078,7200,551981847.415721,2.3449032506067,-0.735839718078337,"r_RG_10_061","r_RG_10_061.1","2010"
