sto,x,y,wald,wald_max,versiegelt
2254,4316635.080890894,3161574.4746357356,16.418420791625977,84,55.6380500793457
2255,4316735.106256184,3161573.106855642,13.658797264099121,65,42.34772872924805
2256,4316835.131605789,3161571.739079592,5.948746681213379,53,54.36309051513672
2257,4316935.156939676,3161570.3713075863,18.184974670410156,83,41.762630462646484
2258,4317035.182257815,3161569.003539624,31.364421844482422,92,19.678009033203125
2259,4317135.20756018,3161567.6357757067,21.97726821899414,83,20.5022029876709
2260,4317235.232846729,3161566.2680158336,21.023340225219727,74,3.3612098693847656
2261,4317335.258117443,3161564.900260006,0,0,0
2262,4317435.283372284,3161563.532508222,0,0,0
2263,4317535.308611224,3161562.164760484,0,0,0
2264,4317635.333834232,3161560.797016795,0,0,0
2265,4317735.359041277,3161559.429277153,0.34932583570480347,61,0
2266,4317835.384232331,3161558.0615415554,3.2671291828155518,64,0
2267,4317935.409407358,3161556.6938100066,4.62496280670166,71,0
2268,4318035.434566331,3161555.326082509,72.56006622314453,94,0
2269,4318135.45970922,3161553.9583590585,77.793914794921875,100,0
2270,4318235.484835992,3161552.590639656,95.21589660644531,100,0
2271,4318335.509946617,3161551.222924303,96.24260711669922,100,0
2272,4318435.535041066,3161549.855213,98.017486572265625,100,0
2273,4318535.560119304,3161548.487505747,95.75305938720703,100,0
2274,4318635.585181306,3161547.1198025444,93.6771469116211,100,0
2275,4318735.610227034,3161545.752103395,96.157440185546875,100,0
2276,4318835.635256468,3161544.384408295,95.825439453125,100,0
2277,4318935.660269567,3161543.0167172463,93.03593444824219,100,0
2278,4319035.685266305,3161541.6490302496,49.07844924926758,97,0
2279,4319135.71024665,3161540.281347306,0,0,0
2280,4319235.735210573,3161538.9136684183,52.77833557128906,95,0
2281,4319335.760158042,3161537.54599358,54.15871047973633,93,15.446403503417969
2282,4319435.785089028,3161536.1783227967,15.317082405090332,81,45.420616149902344
2283,4319535.810003498,3161534.810656069,19.56594467163086,68,41.538612365722656
2284,4319635.8349014195,3161533.442993397,28.517663955688477,73,36.50926971435547
2285,4319735.859782768,3161532.07533478,19.232192993164062,66,39.96080780029297
2286,4319835.884647508,3161530.707680218,17.76859474182129,53,39.01235580444336
2287,4319935.90949561,3161529.3400297095,28.519922256469727,66,33.388484954833984
2288,4320035.934327044,3161527.972383259,14.479227066040039,57,53.80671691894531
2289,4320135.959141778,3161526.6047408683,0.05385937914252281,25,58.128536224365234
2290,4320235.9839397855,3161525.237102529,2.139336585998535,53,2.442530632019043
2291,4320336.008721027,3161523.8694682503,1.262779951095581,61,0.7994526624679565
2292,4320436.033485481,3161522.5018380308,55.99809265136719,93,0
2293,4320536.058233112,3161521.1342118704,4.905385494232178,48,0
2294,4320636.082963888,3161519.7665897664,19.5910701751709,87,0
2295,4320736.107677783,3161518.398971722,0,0,0
2296,4320836.132374763,3161517.031357739,54.349830627441406,91,0
2297,4320936.157054798,3161515.6637478154,14.984451293945312,94,0
2298,4321036.1817178605,3161514.2961419527,7.372522354125977,80,0
2299,4321136.206363912,3161512.928540151,0,0,0
2300,4321236.230992931,3161511.5609424096,0,0,0
2301,4321336.255604881,3161510.19334873,0,0,0
2302,4321436.280199732,3161508.825759113,0,0,0
2303,4321536.304777455,3161507.45817356,2.782327175140381,55,0
2304,4321636.329338018,3161506.0905920686,0.5765749216079712,39,0
2305,4321736.353881391,3161504.7230146434,4.735733509063721,60,0
2306,4321836.378407542,3161503.355441281,0,0,0
2307,4321936.402916442,3161501.9878719836,0,0,0
2308,4322036.42740806,3161500.620306749,0,0,0
2309,4322136.451882365,3161499.2527455785,0,0,0
2310,4322236.476339325,3161497.885188477,0,0,0
2311,4322336.500778913,3161496.51763544,0.7308526635169983,75,0
2312,4322436.5252010925,3161495.1500864676,8.391791343688965,82,0
2313,4322536.549605839,3161493.782541562,51.07927703857422,100,0
2354,4312732.712018105,3161527.7950001545,5.403844833374023,79,41.630592346191406
2355,4312832.737972722,3161526.4270781847,3.2530417442321777,68,48.380252838134766
2356,4312932.763912848,3161525.0591602568,0,0,0
2357,4313032.789838455,3161523.691246378,0,0,2.156409502029419
2358,4313132.815749511,3161522.323336546,0,0,69.25205993652344
2359,4313232.841645984,3161520.955430758,16.68962860107422,75,38.11521530151367
2360,4313332.867527847,3161519.58752902,8.012359619140625,65,11.781769752502441
2361,4313432.893395068,3161518.2196313264,7.179960250854492,63,38.68214416503906
2362,4313532.919247613,3161516.8517376794,5.274618625640869,70,61.5182991027832
2363,4313632.945085457,3161515.4838480838,9.388893127441406,75,2.987189769744873
2364,4313732.970908564,3161514.115962535,2.2733912467956543,73,2.0516836643218994
2365,4313832.996716907,3161512.7480810373,1.0792386531829834,56,2.2768421173095703
2366,4313933.022510452,3161511.3802035875,0,0,0
2367,4314033.0482891705,3161510.012330188,3.634105920791626,65,0.40065884590148926
2368,4314133.074053033,3161508.6444608397,8.232575416564941,66,2.8745362758636475
2369,4314233.099802008,3161507.2765955445,9.353638648986816,66,19.670726776123047
2370,4314333.125536061,3161505.9087342983,8.331562042236328,60,19.886205673217773
2371,4314433.151255167,3161504.540877104,9.720778465270996,55,38.20503234863281
2372,4314533.176959293,3161503.1730239606,18.400081634521484,75,15.791932106018066
2373,4314633.202648407,3161501.80517487,54.89563751220703,90,9.539794921875
2374,4314733.228322479,3161500.437329829,41.60758590698242,90,0
2375,4314833.2539814785,3161499.0694888467,0,0,0
2376,4314933.279625374,3161497.7016519164,0,0,0
2377,4315033.305254139,3161496.333819039,0,0,0
2378,4315133.3308677375,3161494.965990216,0,0,0
2379,4315233.356466141,3161493.598165446,0,0,0
2380,4315333.3820493175,3161492.2303447365,0,0,0
2381,4315433.40761724,3161490.8625280815,17.976869583129883,88,14.919734954833984
2382,4315533.433169873,3161489.494715481,6.328855037689209,71,53.822486877441406
2383,4315633.458707188,3161488.126906937,0,0,96.38489532470703
2384,4315733.484229157,3161486.7591024498,8.91577434539795,60,51.5211181640625
2385,4315833.509735747,3161485.3913020194,1.0029799938201904,43,54.9713249206543
2386,4315933.535226924,3161484.023505651,28.998340606689453,81,15.319132804870605
2387,4316033.56070266,3161482.6557133384,64.43544006347656,100,9.383931159973145
2388,4316133.5861629285,3161481.2879250827,40.35470199584961,98,24.032371520996094
2389,4316233.611607692,3161479.920140889,5.548330783843994,75,76.69122314453125
2390,4316333.637036924,3161478.5523607554,4.3429107666015625,52,65.42384338378906
2391,4316433.662450592,3161477.184584679,3.65096116065979,53,49.78043746948242
2392,4316533.687848669,3161475.81681266,10.424193382263184,71,63.29441452026367
2393,4316633.713231116,3161474.4490447054,7.17803955078125,69,65.99161529541016
2394,4316733.738597909,3161473.0812808136,25.060935974121094,72,39.347782135009766
2395,4316833.763949016,3161471.7135209823,22.38738250732422,77,36.8378791809082
2396,4316933.789284408,3161470.3457652126,28.801715850830078,83,31.97256088256836
2397,4317033.814604051,3161468.9780135057,18.53659439086914,85,42.81865692138672
2398,4317133.839907915,3161467.6102658603,9.732622146606445,58,54.20827102661133
2399,4317233.86519597,3161466.242522279,26.494384765625,77,10.912277221679688
2400,4317333.890468188,3161464.8747827653,0,0,0
2401,4317433.915724533,3161463.507047309,0,0,0
2402,4317533.940964977,3161462.1393159167,0,0,0
2403,4317633.966189491,3161460.771588593,1.1098201274871826,44,0
2404,4317733.991398042,3161459.4038653374,2.15108585357666,70,0
2405,4317834.0165906,3161458.036146146,16.123327255249023,80,0
2406,4317934.041767133,3161456.668431016,32.236175537109375,79,0.5764662623405457
2407,4318034.066927612,3161455.300719957,56.45772933959961,88,2.0614511966705322
2408,4318134.092072007,3161453.933012964,68.28119659423828,88,0.08325964212417603
2409,4318234.117200286,3161452.5653100368,80.52025604248047,97,0
2410,4318334.142312417,3161451.1976111787,96.39207458496094,100,0
2411,4318434.167408371,3161449.829916387,97.620025634765625,100,0
2412,4318534.192488118,3161448.4622256667,96.26548767089844,100,0
2413,4318634.217551625,3161447.094539016,97.48786163330078,100,0
2414,4318734.242598866,3161445.726856434,95.115081787109375,100,0
2415,4318834.267629801,3161444.359177918,93.02872467041016,100,0
2416,4318934.29264441,3161442.9915034743,75.52742004394531,97,0.41096481680870056
2417,4319034.317642656,3161441.6238331036,23.069988250732422,97,18.896154403686523
2418,4319134.3426245125,3161440.256166803,17.693622589111328,85,0.05408135801553726
2419,4319234.367589942,3161438.8885045755,73.59188079833984,96,2.184457302093506
2420,4319334.39253892,3161437.5208464186,15.12122631072998,91,36.70854949951172
2421,4319434.417471415,3161436.1531923315,9.154091835021973,61,50.16399002075195
2422,4319534.442387395,3161434.78554232,3.2266695499420166,49,45.76690673828125
2423,4319634.467286827,3161433.4178963825,30.292512893676758,67,26.66942024230957
2424,4319734.492169684,3161432.050254517,19.548460006713867,66,38.093292236328125
2425,4319834.517035936,3161430.6826167256,16.775535583496094,66,43.641204833984375
2426,4319934.541885548,3161429.314983008,22.254684448242188,63,41.090274810791016
2427,4320034.5667184945,3161427.9473533644,14.773958206176758,62,46.38948059082031
2428,4320134.591534739,3161426.5797277996,7.143863677978516,58,54.019588470458984
2429,4320234.616334254,3161425.2121063084,4.200390338897705,54,14.587072372436523
2430,4320334.64111701,3161423.8444888922,2.1483588218688965,70,0
2431,4320434.665882974,3161422.4768755557,74.86854553222656,94,0
2432,4320534.690632117,3161421.109266293,7.7825469970703125,85,0
2433,4320634.715364407,3161419.741661109,12.37602424621582,83,0
2434,4320734.740079814,3161418.374060005,1.5231945514678955,63,0
2435,4320834.764778309,3161417.0064629754,33.473045349121094,86,0
2436,4320934.789459856,3161415.638870026,15.363363265991211,67,0
2437,4321034.8141244305,3161414.2712811567,17.600412368774414,64,0
2438,4321134.838771998,3161412.9036963647,0,0,0
2439,4321234.863402529,3161411.5361156557,0,0,0
2440,4321334.888015992,3161410.1685390244,0,0,0
2441,4321434.912612358,3161408.8009664747,0,0,0
2442,4321534.937191596,3161407.433398006,0,0,0
2443,4321634.961753673,3161406.065833618,1.2956912517547607,65,0
2444,4321734.986298561,3161404.698273312,1.163428544998169,65,0
2445,4321835.010826227,3161403.3307170896,0,0,0
2446,4321935.035336643,3161401.9631649517,0,0,0
2447,4322035.059829777,3161400.595616893,0,0,0
2448,4322135.0843055975,3161399.228072917,0,0,0
2449,4322235.108764075,3161397.860533028,0,0,0
2450,4322335.133205177,3161396.4929972244,0.14431309700012207,38,0
2451,4322435.157628876,3161395.1254655006,0,0,0
2452,4322535.182035139,3161393.7579378653,0,0,0
2497,4312731.344316407,3161427.768792782,1.8750972747802734,37,26.627155303955078
2498,4312831.370272522,3161426.4008862916,0,0,3.618682861328125
2499,4312931.396214147,3161425.0329838623,0,0,21.848119735717773
2500,4313031.422141253,3161423.665085502,0,0,0.04423493146896362
2501,4313131.448053808,3161422.297191205,0,0,52.57985305786133
2502,4313231.473951784,3161420.9293009723,7.072177410125732,63,49.5859260559082
